# Mie Scattering                # Version 2-3-5 (04:24:01 12/17/16)
# Oregon Medical Laser Center   # http://omlc.org
# by Scott Prahl                # scott.prahl@oit.edu
#
# radius     	  0.05000	 [microns]     (sphere radius)
# n_medium   	  1.00000	 [---]         (refractive index of medium)
# n_real     	  1.86250	 [---]         (refractive index of sphere)
# n_imag     	 -0.34050	 [---]         (absorption of sphere)
# lambda_vac 	  1.61000	 [microns]     (wavelength in vacuum)
# density    	  0.10000	 [#/micron^3]  (spheres per cubic micron)
#
# lambda     	  1.61000	 [microns]     (wavelength in medium)
# X          	  0.19513	 [---]         (size parameter)
# g          	0.0088469	 [---]         (average cosine of phase function)
# Qsca       	0.00092371	 [---]         (scattering efficiency)
# Qext       	  0.10258	 [---]         (extinction efficiency)
# Qback      	0.0013574	 [---]         (backscattering efficiency)
# Csca       	7.2548e-06	 [micron^2]    (scattering cross section)
# Cext       	0.00080566	 [micron^2]    (extinction cross section)
# Cback      	1.0661e-05	 [micron^2]    (backscattering cross section)
# mu_s       	0.00072548	 [1/mm]        (scattering coefficient)
# mu_s'      	0.00071907	 [1/mm]        (reduced scattering coefficient)
# mu_t       	 0.080566	 [1/mm]        (total attenuation coefficient)
#
#   The second column is normalized so that the integral of it over 
#   4*pi steradians will be unity.  The average of the 3rd & 4th
#   columns is the second.  The next three columns are normalized
#   to the value at 0 degrees. 
#
#       natural      = (|S1|^2+|S2|^2)/(pi X^2 Qsca)
#       perpen       = |S1|^2/(pi X^2 Qsca)
#       parallel     = |S2|^2/(pi X^2 Qsca)
#       polarization = (|S1|^2-|S2|^2)/(|S1|^2+|S2|^2)
#       S33          =  Real(S2 * S1^*)
#       S34          = -Imag(S2 * S1^*)
#
##theta	 natural 	 perpen 	 parallel	 natural 	 perpen 	 parallel	 polarization 	   S33   	   S34
-122.400	 0.07582	 0.11805	 0.03359	 0.62244	 0.96910	 0.27577	 0.55695	-0.83055	 0.00189
-118.800	 0.07266	 0.11818	 0.02714	 0.59648	 0.97018	 0.22278	 0.62651	-0.77941	 0.00213
-115.200	 0.06975	 0.11832	 0.02118	 0.57256	 0.97129	 0.17383	 0.69639	-0.71766	 0.00236
-111.600	 0.06713	 0.11846	 0.01580	 0.55108	 0.97244	 0.12973	 0.76460	-0.64450	 0.00259
-108.000	 0.06485	 0.11860	 0.01111	 0.53239	 0.97362	 0.09117	 0.82876	-0.55960	 0.00281
-104.400	 0.06296	 0.11875	 0.00716	 0.51680	 0.97482	 0.05878	 0.88625	-0.46319	 0.00300
-100.800	 0.06147	 0.11890	 0.00403	 0.50458	 0.97604	 0.03311	 0.93439	-0.35625	 0.00317
-97.200	 0.06041	 0.11905	 0.00177	 0.49592	 0.97728	 0.01456	 0.97064	-0.24052	 0.00329
-93.600	 0.05981	 0.11920	 0.00042	 0.49100	 0.97854	 0.00346	 0.99295	-0.11853	 0.00336
-90.000	 0.05968	 0.11936	 0.00000	 0.48990	 0.97979	 0.00001	 0.99997	 0.00666	 0.00339
-86.400	 0.06002	 0.11951	 0.00052	 0.49267	 0.98105	 0.00429	 0.99129	 0.13163	 0.00336
-82.800	 0.06082	 0.11966	 0.00198	 0.49928	 0.98231	 0.01625	 0.96745	 0.25303	 0.00328
-79.200	 0.06208	 0.11981	 0.00435	 0.50964	 0.98355	 0.03573	 0.92989	 0.36782	 0.00315
-75.600	 0.06379	 0.11996	 0.00761	 0.52362	 0.98479	 0.06245	 0.88074	 0.47359	 0.00298
-72.000	 0.06590	 0.12011	 0.01169	 0.54100	 0.98600	 0.09600	 0.82256	 0.56868	 0.00278
-68.400	 0.06841	 0.12026	 0.01655	 0.56154	 0.98719	 0.13588	 0.75802	 0.65222	 0.00257
-64.800	 0.07125	 0.12040	 0.02211	 0.58492	 0.98836	 0.18147	 0.68974	 0.72405	 0.00233
-61.200	 0.07440	 0.12054	 0.02827	 0.61079	 0.98949	 0.23209	 0.62002	 0.78458	 0.00210
-57.600	 0.07781	 0.12067	 0.03495	 0.63875	 0.99058	 0.28692	 0.55080	 0.83463	 0.00186
-54.000	 0.08142	 0.12080	 0.04204	 0.66838	 0.99163	 0.34514	 0.48362	 0.87527	 0.00164
-50.400	 0.08518	 0.12092	 0.04944	 0.69922	 0.99264	 0.40581	 0.41962	 0.90770	 0.00142
-46.800	 0.08902	 0.12104	 0.05701	 0.73080	 0.99359	 0.46800	 0.35960	 0.93311	 0.00122
-43.200	 0.09290	 0.12115	 0.06465	 0.76261	 0.99449	 0.53072	 0.30407	 0.95265	 0.00103
-39.600	 0.09674	 0.12125	 0.07224	 0.79416	 0.99533	 0.59299	 0.25331	 0.96738	 0.00086
-36.000	 0.10050	 0.12134	 0.07965	 0.82496	 0.99612	 0.65381	 0.20747	 0.97824	 0.00070
-32.400	 0.10410	 0.12143	 0.08676	 0.85453	 0.99683	 0.71223	 0.16652	 0.98604	 0.00056
-28.800	 0.10749	 0.12151	 0.09347	 0.88240	 0.99748	 0.76732	 0.13042	 0.99146	 0.00044
-25.200	 0.11063	 0.12158	 0.09967	 0.90814	 0.99806	 0.81821	 0.09902	 0.99509	 0.00033
-21.600	 0.11345	 0.12164	 0.10526	 0.93133	 0.99857	 0.86408	 0.07220	 0.99739	 0.00024
-18.000	 0.11592	 0.12170	 0.11015	 0.95161	 0.99900	 0.90421	 0.04981	 0.99876	 0.00017
-14.400	 0.11800	 0.12174	 0.11426	 0.96865	 0.99936	 0.93795	 0.03170	 0.99950	 0.00011
-10.800	 0.11965	 0.12177	 0.11753	 0.98220	 0.99964	 0.96477	 0.01775	 0.99984	 0.00006
-7.200	 0.12085	 0.12180	 0.11990	 0.99204	 0.99984	 0.98424	 0.00786	 0.99997	 0.00003
-3.600	 0.12157	 0.12181	 0.12134	 0.99800	 0.99996	 0.99604	 0.00196	 1.00000	 0.00001
 0.000	 0.12182	 0.12182	 0.12182	 1.00000	 1.00000	 1.00000	 0.00000	 1.00000	-0.00000
 3.600	 0.12157	 0.12181	 0.12134	 0.99800	 0.99996	 0.99604	 0.00196	 1.00000	 0.00001
 7.200	 0.12085	 0.12180	 0.11990	 0.99204	 0.99984	 0.98424	 0.00786	 0.99997	 0.00003
10.800	 0.11965	 0.12177	 0.11753	 0.98220	 0.99964	 0.96477	 0.01775	 0.99984	 0.00006
14.400	 0.11800	 0.12174	 0.11426	 0.96865	 0.99936	 0.93795	 0.03170	 0.99950	 0.00011
18.000	 0.11592	 0.12170	 0.11015	 0.95161	 0.99900	 0.90421	 0.04981	 0.99876	 0.00017
21.600	 0.11345	 0.12164	 0.10526	 0.93133	 0.99857	 0.86408	 0.07220	 0.99739	 0.00024
25.200	 0.11063	 0.12158	 0.09967	 0.90814	 0.99806	 0.81821	 0.09902	 0.99509	 0.00033
28.800	 0.10749	 0.12151	 0.09347	 0.88240	 0.99748	 0.76732	 0.13042	 0.99146	 0.00044
32.400	 0.10410	 0.12143	 0.08676	 0.85453	 0.99683	 0.71223	 0.16652	 0.98604	 0.00056
36.000	 0.10050	 0.12134	 0.07965	 0.82496	 0.99612	 0.65381	 0.20747	 0.97824	 0.00070
39.600	 0.09674	 0.12125	 0.07224	 0.79416	 0.99533	 0.59299	 0.25331	 0.96738	 0.00086
43.200	 0.09290	 0.12115	 0.06465	 0.76261	 0.99449	 0.53072	 0.30407	 0.95265	 0.00103
46.800	 0.08902	 0.12104	 0.05701	 0.73080	 0.99359	 0.46800	 0.35960	 0.93311	 0.00122
50.400	 0.08518	 0.12092	 0.04944	 0.69922	 0.99264	 0.40581	 0.41962	 0.90770	 0.00142
54.000	 0.08142	 0.12080	 0.04204	 0.66838	 0.99163	 0.34514	 0.48362	 0.87527	 0.00164
57.600	 0.07781	 0.12067	 0.03495	 0.63875	 0.99058	 0.28692	 0.55080	 0.83463	 0.00186
61.200	 0.07440	 0.12054	 0.02827	 0.61079	 0.98949	 0.23209	 0.62002	 0.78458	 0.00210
64.800	 0.07125	 0.12040	 0.02211	 0.58492	 0.98836	 0.18147	 0.68974	 0.72405	 0.00233
68.400	 0.06841	 0.12026	 0.01655	 0.56154	 0.98719	 0.13588	 0.75802	 0.65222	 0.00257
72.000	 0.06590	 0.12011	 0.01169	 0.54100	 0.98600	 0.09600	 0.82256	 0.56868	 0.00278
75.600	 0.06379	 0.11996	 0.00761	 0.52362	 0.98479	 0.06245	 0.88074	 0.47359	 0.00298
79.200	 0.06208	 0.11981	 0.00435	 0.50964	 0.98355	 0.03573	 0.92989	 0.36782	 0.00315
82.800	 0.06082	 0.11966	 0.00198	 0.49928	 0.98231	 0.01625	 0.96745	 0.25303	 0.00328
86.400	 0.06002	 0.11951	 0.00052	 0.49267	 0.98105	 0.00429	 0.99129	 0.13163	 0.00336
90.000	 0.05968	 0.11936	 0.00000	 0.48990	 0.97979	 0.00001	 0.99997	 0.00666	 0.00339
93.600	 0.05981	 0.11920	 0.00042	 0.49100	 0.97854	 0.00346	 0.99295	-0.11853	 0.00336
97.200	 0.06041	 0.11905	 0.00177	 0.49592	 0.97728	 0.01456	 0.97064	-0.24052	 0.00329
100.800	 0.06147	 0.11890	 0.00403	 0.50458	 0.97604	 0.03311	 0.93439	-0.35625	 0.00317
104.400	 0.06296	 0.11875	 0.00716	 0.51680	 0.97482	 0.05878	 0.88625	-0.46319	 0.00300
108.000	 0.06485	 0.11860	 0.01111	 0.53239	 0.97362	 0.09117	 0.82876	-0.55960	 0.00281
111.600	 0.06713	 0.11846	 0.01580	 0.55108	 0.97244	 0.12973	 0.76460	-0.64450	 0.00259
115.200	 0.06975	 0.11832	 0.02118	 0.57256	 0.97129	 0.17383	 0.69639	-0.71766	 0.00236
118.800	 0.07266	 0.11818	 0.02714	 0.59648	 0.97018	 0.22278	 0.62651	-0.77941	 0.00213
122.400	 0.07582	 0.11805	 0.03359	 0.62244	 0.96910	 0.27577	 0.55695	-0.83055	 0.00189
126.000	 0.07918	 0.11793	 0.04044	 0.65002	 0.96807	 0.33198	 0.48928	-0.87212	 0.00166
129.600	 0.08269	 0.11781	 0.04757	 0.67879	 0.96709	 0.39050	 0.42472	-0.90532	 0.00144
133.200	 0.08628	 0.11769	 0.05487	 0.70827	 0.96615	 0.45040	 0.36409	-0.93136	 0.00124
136.800	 0.08990	 0.11759	 0.06222	 0.73801	 0.96527	 0.51074	 0.30795	-0.95140	 0.00105
140.400	 0.09350	 0.11749	 0.06951	 0.76751	 0.96445	 0.57057	 0.25660	-0.96652	 0.00087
144.000	 0.09701	 0.11739	 0.07662	 0.79631	 0.96369	 0.62894	 0.21018	-0.97766	 0.00071
147.600	 0.10037	 0.11731	 0.08344	 0.82397	 0.96299	 0.68494	 0.16872	-0.98566	 0.00057
151.200	 0.10355	 0.11723	 0.08986	 0.85003	 0.96236	 0.73770	 0.13215	-0.99123	 0.00045
154.800	 0.10648	 0.11716	 0.09579	 0.87409	 0.96179	 0.78638	 0.10034	-0.99495	 0.00034
158.400	 0.10912	 0.11710	 0.10114	 0.89576	 0.96130	 0.83022	 0.07317	-0.99732	 0.00025
162.000	 0.11143	 0.11705	 0.10580	 0.91471	 0.96088	 0.86854	 0.05047	-0.99873	 0.00017
165.600	 0.11337	 0.11701	 0.10973	 0.93064	 0.96054	 0.90075	 0.03212	-0.99948	 0.00011
169.200	 0.11491	 0.11698	 0.11284	 0.94330	 0.96027	 0.92633	 0.01799	-0.99984	 0.00006
172.800	 0.11603	 0.11695	 0.11510	 0.95248	 0.96007	 0.94489	 0.00797	-0.99997	 0.00003
176.400	 0.11671	 0.11694	 0.11648	 0.95805	 0.95996	 0.95615	 0.00199	-1.00000	 0.00001
180.000	 0.11694	 0.11694	 0.11694	 0.95992	 0.95992	 0.95992	 0.00000	-1.00000	-0.00000

